Statistical profiling result from clg_off-v8.log, (25285 ticks, 31 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  LazyCompile: *urlencodedParser /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/body-parser/lib/types/urlencoded.js:79:36
      3    0.0%    0.0%  LazyCompile: *socketOnDrain node:_http_server:587:23
      3    0.0%    0.0%  LazyCompile: *shouldSetCookie /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:464:29
      3    0.0%    0.0%  LazyCompile: *resume_ node:internal/streams/readable:984:17
      3    0.0%    0.0%  LazyCompile: *randomBytes node:internal/crypto/random:93:21
      3    0.0%    0.0%  LazyCompile: *processImmediate node:internal/timers:421:28
      3    0.0%    0.0%  LazyCompile: *parserOnMessageComplete node:_http_common:146:33
      3    0.0%    0.0%  LazyCompile: *handle /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/layer.js:86:49
      3    0.0%    0.0%  LazyCompile: *emitReadable_ node:internal/streams/readable:574:23
      3    0.0%    0.0%  LazyCompile: *dispatch /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/route.js:98:45
      3    0.0%    0.0%  LazyCompile: *arrayClone node:events:865:20
      3    0.0%    0.0%  LazyCompile: *app /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/express.js:38:21
      3    0.0%    0.0%  LazyCompile: *_destroy node:_http_incoming:221:55
      3    0.0%    0.0%  Function: ^writeGeneric node:internal/stream_base_commons:147:22
      3    0.0%    0.0%  Function: ^readPackageScope node:internal/modules/cjs/loader:332:26
      3    0.0%    0.0%  Function: ^newAsyncId node:internal/async_hooks:416:20
      3    0.0%    0.0%  Function: ^jsonParser /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/body-parser/lib/types/json.js:98:30
      3    0.0%    0.0%  Function: ^isModified /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:425:24
      3    0.0%    0.0%  Function: ^_transform /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/winston/lib/winston/logger.js:275:13
      3    0.0%    0.0%  Function: ^Negotiator /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/index.js:30:20
      3    0.0%    0.0%  Function: ^<anonymous> /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/engine.io/build/server.js:479:30
      2    0.0%    0.0%  RegExp: ^\/?$ {1}
      2    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.0%  LazyCompile: *writevGeneric node:internal/stream_base_commons:122:23
      2    0.0%    0.0%  LazyCompile: *writeOrBuffer node:internal/streams/writable:367:23
      2    0.0%    0.0%  LazyCompile: *writeGeneric node:internal/stream_base_commons:147:22
      2    0.0%    0.0%  LazyCompile: *updateOutgoingData node:_http_server:582:28
      2    0.0%    0.0%  LazyCompile: *removeAllListeners node:events:735:32
      2    0.0%    0.0%  LazyCompile: *processPromiseRejections node:internal/process/promises:211:34
      2    0.0%    0.0%  LazyCompile: *next /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express/lib/router/route.js:116:16
      2    0.0%    0.0%  LazyCompile: *getEncodingPriority /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/negotiator/lib/encoding.js:98:29
      2    0.0%    0.0%  LazyCompile: *fromStringFast node:buffer:418:24
      2    0.0%    0.0%  LazyCompile: *compressible /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compressible/index.js:41:23
      2    0.0%    0.0%  LazyCompile: *afterWriteTick node:internal/streams/writable:484:24
      2    0.0%    0.0%  LazyCompile: *afterWriteDispatched node:internal/stream_base_commons:155:30
      2    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:285:16
      2    0.0%    0.0%  LazyCompile: *_addListener node:events:541:22
      2    0.0%    0.0%  LazyCompile: *Readable.read /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:392:36
      2    0.0%    0.0%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:505:28
      2    0.0%    0.0%  LazyCompile: *Mime.lookup /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/mime/mime.js:69:33
      2    0.0%    0.0%  LazyCompile: *Hash node:internal/crypto/hash:62:14
      2    0.0%    0.0%  Function: ^validateNumber node:internal/validators:124:24
      2    0.0%    0.0%  Function: ^session /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/express-session/index.js:179:26
      2    0.0%    0.0%  Function: ^readableAddChunk /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/readable-stream/lib/_stream_readable.js:249:26
      2    0.0%    0.0%  Function: ^randomBytesSync /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/random-bytes/index.js:72:25
      2    0.0%    0.0%  Function: ^process.cwd /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/graceful-fs/polyfills.js:8:23
      2    0.0%    0.0%  Function: ^parserOnMessageComplete node:_http_common:146:33
      2    0.0%    0.0%  Function: ^onResponseHeaders /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/compression/index.js:140:47
      2    0.0%    0.0%  Function: ^nop node:_http_outgoing:88:13
      2    0.0%    0.0%  Function: ^lookupProperty /mnt/c/Users/Marco Solis/Desktop/CH/Entrega/LOGGERS-GZIP-Performance_analisis/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.0%  Function: ^insert node:internal/timers:350:16
